FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Arsiesh Namboothiri,31,Male,Site Reliability Engineer (SRE),Operations,01-Oct,Flexible/ Variable,10,1,Shared Accommodation,Co-Working Space,39,4,2,7,5,5,2,109,<15 minutes,"notion,jira",5,2,4,1,3,1,5,5,3,9,5,Not Sure,No,2,,,,,,,,,,,3.0,3.0,3.6666666666666665,,"Site Reliability Engineer (SRE) notion,jira",1,2,0,0,1
Mithalee Bharti,23,Female,HR Director,HR,01-Oct,Hybrid,91,2,With Partner,Shared Space(Kitchen/Living Room),34,1,2,7,4,3,10,67,1-4 hours,"asana,google meet,email,slack",2,3,4,4,5,3,1,3,3,6,5,Yes,Yes,2,,,,,,,,,,,3.2,1.5,2.3333333333333335,,"HR Director asana,google meet,email,slack",0,1,0,2,3
Samarpreet Singh,29,Female,Front-End Developer,Software Development,Nov-50,Flexible/ Variable,30,3,Shared Accommodation,Co-Working Space,39,5,1,9,3,2,11,72,4-24 hours,"notion,jira",3,1,3,4,5,3,4,5,1,7,2,No,Don't Know,3,,,,,,,,,,,2.4,3.0,4.0,,"Front-End Developer notion,jira",0,5,5,0,1
Prerak Chaturvedi,24,Male,Technical Account Manager,Sales,5001+,Office- First,8,1,Shared Accommodation,Shared Space(Kitchen/Living Room),44,2,1,4,3,5,8,95,<15 minutes,"notion,zoom,email,slack",2,1,1,1,3,1,2,1,4,8,1,Not Sure,Don't Know,4,,,,,,,,,,,1.8,1.5,1.3333333333333333,,"Technical Account Manager notion,zoom,email,slack",1,4,3,3,1
Katanan Pandita,45,Female,Recruiter / Technical Recruiter,HR,201-1000,Office- First,94,5,With Children,Desk In Shared Room,31,1,4,6,1,3,12,114,1-4 hours,"google meet,email,asana,zoom",1,2,3,1,4,1,4,4,3,6,2,Not Sure,No,2,,,,,,,,,,,2.0,2.5,3.0,,"Recruiter / Technical Recruiter google meet,email,asana,zoom",0,1,2,3,2
Dinand Upadhyayula,43,Male,Chatbot Developer,Software Development,01-Oct,Hybrid,153,1,With Children,Co-Working Space,24,2,1,7,3,1,9,70,<15 minutes,"email,zoom,google meet,MS teams,slack",1,2,2,4,2,5,2,2,5,9,2,Yes,Don't Know,4,,,,,,,,,,,2.8,1.5,3.0,,"Chatbot Developer email,zoom,google meet,MS teams,slack",1,5,0,2,2
Pratil Mukherjee,35,Male,API Developer,Software Development,201-1000,Flexible/ Variable,49,1,Live Alone,Dedicated Room,51,4,3,10,4,2,10,134,>24 hours,"zoom,asana",1,1,4,4,2,1,1,4,3,7,4,Not Sure,Don't Know,5,,,,,,,,,,,2.6,3.5,2.0,,"API Developer zoom,asana",1,5,2,0,0
Vikash Sisodia,48,Male,Deep Learning Engineer,Software Development,Nov-50,Office- First,159,5,With Partner,Co-Working Space,41,1,5,6,3,4,4,103,<15 minutes,"asana,notion,email,google meet,jira",2,1,4,1,1,3,1,2,3,8,5,Yes,Don't Know,2,,,,,,,,,,,2.2,3.0,2.0,,"Deep Learning Engineer asana,notion,email,google meet,jira",1,5,5,3,3
Tanak Kulkarni,26,Male,Customer Success Manager,Sales,01-Oct,Flexible/ Variable,164,5,With Partner,Desk In Shared Room,52,4,4,5,4,3,4,62,4-24 hours,"email,slack,jira,google meet,asana",5,2,4,1,3,5,5,2,5,6,5,Yes,Don't Know,4,,,,,,,,,,,3.4,4.0,4.0,,"Customer Success Manager email,slack,jira,google meet,asana",1,4,0,0,3
Jimmi Narasimhan,29,Female,Backup & Recovery Specialist,Operations,1001-5000,Fully Remote,43,5,With Children,Dedicated Room,19,3,6,9,1,2,9,60,4-24 hours,"zoom,MS teams,asana,notion",5,4,5,4,2,4,3,2,5,7,5,No,Yes,5,,,,,,,,,,,4.6,4.5,3.0,,"Backup & Recovery Specialist zoom,MS teams,asana,notion",0,2,1,1,2
Kanesh Mahajan,25,Male,IT Director,Software Development,1001-5000,Flexible/ Variable,84,3,With Children,Shared Space(Kitchen/Living Room),45,1,5,9,5,5,9,93,4-24 hours,"zoom,jira,asana,google meet,slack",3,3,1,3,4,2,5,4,3,8,2,Not Sure,No,4,,,,,,,,,,,2.6,3.0,3.6666666666666665,,"IT Director zoom,jira,asana,google meet,slack",1,5,1,0,2
Kravit Hazarika,33,Male,Tech Lead,Software Development,01-Oct,Hybrid,22,1,With Children,Desk In Shared Room,26,1,7,6,2,2,6,72,4-24 hours,"notion,asana",4,4,2,3,1,4,1,3,2,6,5,No,No,4,,,,,,,,,,,3.0,4.0,2.6666666666666665,,"Tech Lead notion,asana",1,5,0,2,2
Tarunaj Nishad,26,Male,Security Architect,Software Development,51-200,Office- First,26,2,Shared Accommodation,Desk In Shared Room,38,4,7,6,3,4,12,123,>24 hours,"notion,slack,google meet",1,5,5,3,5,3,1,3,3,9,1,Yes,Yes,5,,,,,,,,,,,3.4,5.5,2.3333333333333335,,"Security Architect notion,slack,google meet",1,5,4,3,1
Pravian Poddar,31,Female,Penetration Tester / Ethical Hacker,Software Development,01-Oct,Fully Remote,93,5,With Children,Dedicated Room,49,5,5,7,5,3,10,67,1-4 hours,"notion,slack,MS teams",4,5,5,2,2,3,5,2,1,8,3,Yes,No,2,,,,,,,,,,,3.4,5.0,3.3333333333333335,,"Penetration Tester / Ethical Hacker notion,slack,MS teams",0,5,0,1,2
Derasht Agarwal,40,Male,Cloud Engineer,Operations,Nov-50,Office- First,26,1,Live Alone,Shared Space(Kitchen/Living Room),42,4,5,4,4,5,7,97,<15 minutes,"google meet,zoom,MS teams,asana",1,1,4,5,2,3,1,2,2,7,1,No,Don't Know,2,,,,,,,,,,,2.6,4.5,2.0,,"Cloud Engineer google meet,zoom,MS teams,asana",1,2,5,3,0
Ira Aradhyula,39,Female,Back-End Developer,Software Development,Nov-50,Fully Remote,94,4,Live Alone,Shared Space(Kitchen/Living Room),44,3,1,6,3,4,5,126,4-24 hours,"MS teams,google meet,slack,notion",4,2,2,3,1,1,5,4,2,6,2,No,Yes,3,,,,,,,,,,,2.6,2.0,3.3333333333333335,,"Back-End Developer MS teams,google meet,slack,notion",0,5,5,1,0
Susir Chouhan,35,Male,Engineering Manager,Software Development,51-200,Flexible/ Variable,5,1,With Children,Shared Space(Kitchen/Living Room),35,4,4,4,5,1,1,120,>24 hours,"jira,google meet,MS teams,notion",4,3,4,1,1,1,4,4,5,6,4,Not Sure,Yes,2,,,,,,,,,,,3.4,4.0,3.0,,"Engineering Manager jira,google meet,MS teams,notion",1,5,4,0,2
Tanvi Godbole,37,Female,Tech Lead,Software Development,51-200,Flexible/ Variable,102,5,Shared Accommodation,Shared Space(Kitchen/Living Room),35,2,4,5,4,1,1,105,15-60 minutes,"email,MS teams,asana,jira,notion",5,2,4,4,4,2,2,5,5,7,2,Yes,Yes,2,,,,,,,,,,,4.0,3.0,3.0,,"Tech Lead email,MS teams,asana,jira,notion",0,5,4,0,1
Karush Bajaj,46,Female,Information Security Officer,Software Development,01-Oct,Flexible/ Variable,30,3,With Partner,Co-Working Space,29,3,1,7,2,5,10,86,<15 minutes,"asana,slack,jira,zoom,notion",3,2,1,2,3,2,5,5,5,7,2,Not Sure,Don't Know,4,,,,,,,,,,,2.6,2.0,4.0,,"Information Security Officer asana,slack,jira,zoom,notion",0,5,0,0,3
Kashav Kansal,26,Female,Identity & Access Management (IAM) Specialist,Software Development,5001+,Fully Remote,151,1,With Children,Dedicated Room,29,1,7,7,4,4,1,135,15-60 minutes,"notion,jira",3,1,5,4,2,1,3,5,4,6,1,Yes,Don't Know,5,,,,,,,,,,,3.4,4.0,3.0,,"Identity & Access Management (IAM) Specialist notion,jira",0,5,3,1,2
Madoya Kachwaha,24,Male,API Developer,Software Development,1001-5000,Fully Remote,105,2,Shared Accommodation,Co-Working Space,21,1,4,9,5,4,7,88,<15 minutes,"zoom,email,asana,google meet,MS teams",5,3,3,1,3,5,3,5,5,8,3,Yes,No,3,,,,,,,,,,,3.4,2.5,4.333333333333333,,"API Developer zoom,email,asana,google meet,MS teams",1,5,1,1,1
Suyani Lodha,38,Female,Campus Recruiter,HR,201-1000,Hybrid,6,1,Live Alone,Shared Space(Kitchen/Living Room),45,3,7,8,2,5,7,96,4-24 hours,"jira,MS teams,notion,slack,google meet",4,4,4,1,5,3,1,5,3,7,4,No,Don't Know,3,,,,,,,,,,,3.2,5.0,3.0,,"Campus Recruiter jira,MS teams,notion,slack,google meet",0,1,2,2,0
Dhanesh Dash,27,Male,API Developer,Software Development,5001+,Fully Remote,76,3,With Children,Dedicated Room,42,3,7,8,4,5,1,125,4-24 hours,"asana,email,MS teams,jira",5,2,5,2,5,3,5,2,3,8,3,Yes,Yes,2,,,,,,,,,,,3.4,5.0,3.3333333333333335,,"API Developer asana,email,MS teams,jira",1,5,3,1,2
Hamiraj Sarma / Sarmah,35,Male,Data Architect,Software Development,01-Oct,Office- First,134,4,Shared Accommodation,Dedicated Room,50,5,3,7,4,5,7,103,<15 minutes,"notion,asana,slack,jira,MS teams",5,5,1,3,5,4,1,1,2,8,4,Not Sure,No,3,,,,,,,,,,,3.2,4.0,2.0,,"Data Architect notion,asana,slack,jira,MS teams",1,5,0,3,1
Rishit Madamanchi,28,Female,Project Manager,Software Development,201-1000,Hybrid,156,1,With Partner,Shared Space(Kitchen/Living Room),35,5,3,8,1,5,7,98,<15 minutes,"google meet,jira,asana,MS teams",5,5,4,4,1,1,1,5,4,6,5,Not Sure,Yes,3,,,,,,,,,,,4.4,4.0,2.3333333333333335,,"Project Manager google meet,jira,asana,MS teams",0,5,2,2,3
Rakush Badgujar,43,Female,Robotics Engineer,Software Development,5001+,Office- First,121,5,Shared Accommodation,Shared Space(Kitchen/Living Room),48,5,1,9,4,4,2,136,1-4 hours,"MS teams,email,zoom,asana,notion",1,4,1,5,2,4,3,1,2,6,4,Not Sure,Yes,4,,,,,,,,,,,2.6,3.0,2.6666666666666665,,"Robotics Engineer MS teams,email,zoom,asana,notion",0,5,3,3,1
Rihaan Bedi,48,Male,Infrastructure as Code (IaC) Specialist,Operations,1001-5000,Flexible/ Variable,62,3,With Children,Dedicated Room,36,3,4,9,4,5,5,84,<15 minutes,"asana,notion,jira,MS teams",3,2,1,4,5,5,4,1,4,9,2,Not Sure,Don't Know,1,,,,,,,,,,,2.8,3.5,3.3333333333333335,,"Infrastructure as Code (IaC) Specialist asana,notion,jira,MS teams",1,2,1,0,2
Mayaan Rath,37,Male,Cloud FinOps Analyst,Operations,201-1000,Office- First,47,1,Shared Accommodation,Dedicated Room,35,1,4,7,5,3,1,82,1-4 hours,"google meet,zoom",3,4,1,3,4,4,5,3,4,9,3,No,Yes,1,,,,,,,,,,,3.0,2.5,4.0,,"Cloud FinOps Analyst google meet,zoom",1,2,2,3,1
Gautham Kadivar,34,Male,Embedded Systems Engineer,Operations,1001-5000,Fully Remote,168,5,Shared Accommodation,Desk In Shared Room,44,5,3,6,4,5,5,129,15-60 minutes,"email,slack,zoom,asana",3,3,4,2,5,4,3,2,1,8,3,Yes,No,4,,,,,,,,,,,2.6,4.0,3.0,,"Embedded Systems Engineer email,slack,zoom,asana",1,2,1,1,1
Rikali Bais,29,Female,Business Intelligence (BI) Analyst,Software Development,51-200,Hybrid,39,3,With Partner,Co-Working Space,39,4,5,4,3,2,2,67,>24 hours,"email,asana,slack,jira",2,4,5,3,2,5,2,1,2,6,4,Yes,Don't Know,5,,,,,,,,,,,3.2,4.5,2.6666666666666665,,"Business Intelligence (BI) Analyst email,asana,slack,jira",0,5,4,2,3
Prathmesh Kancherla,36,Female,Customer Success Manager,Sales,51-200,Flexible/ Variable,127,1,Live Alone,Desk In Shared Room,48,5,7,4,2,3,6,139,1-4 hours,"MS teams,slack,email,notion,zoom",3,4,5,1,1,1,5,5,1,8,5,Not Sure,Yes,3,,,,,,,,,,,2.8,6.0,3.6666666666666665,,"Customer Success Manager MS teams,slack,email,notion,zoom",0,4,4,0,0
Taviya Carvalho,48,Male,IoT Engineer,Software Development,1001-5000,Office- First,58,5,Shared Accommodation,Co-Working Space,51,5,4,4,5,5,12,80,<15 minutes,"zoom,google meet,notion,slack,asana",2,2,5,4,5,3,4,4,5,7,3,No,Don't Know,3,,,,,,,,,,,3.6,4.5,3.6666666666666665,,"IoT Engineer zoom,google meet,notion,slack,asana",1,5,1,3,1
Vanita Baxi,46,Female,Blockchain Developer,Software Development,1001-5000,Office- First,168,1,Shared Accommodation,Shared Space(Kitchen/Living Room),41,3,6,8,4,5,6,107,4-24 hours,"jira,zoom",5,4,5,4,5,5,2,4,1,6,2,No,Yes,3,,,,,,,,,,,3.8,4.5,3.6666666666666665,,"Blockchain Developer jira,zoom",0,5,1,3,1
Marahin Sisodiya,48,Male,Full-Stack Developer,Software Development,51-200,Hybrid,122,5,Shared Accommodation,Co-Working Space,34,4,6,5,2,2,9,77,15-60 minutes,"google meet,zoom,notion,jira,slack",3,5,5,4,4,2,1,5,5,8,5,Yes,No,3,,,,,,,,,,,4.4,5.0,2.6666666666666665,,"Full-Stack Developer google meet,zoom,notion,jira,slack",1,5,4,2,1
Dhashari Upadhyayula,26,Female,Campus Recruiter,HR,01-Oct,Flexible/ Variable,74,1,With Children,Shared Space(Kitchen/Living Room),43,1,1,4,5,2,2,144,>24 hours,"jira,slack,MS teams",2,4,4,3,4,4,2,1,5,7,5,Not Sure,Don't Know,2,,,,,,,,,,,3.6,1.0,2.3333333333333335,,"Campus Recruiter jira,slack,MS teams",0,1,0,0,2
Rivith Purohit,23,Male,IT Technician,Software Development,01-Oct,Hybrid,76,2,With Children,Desk In Shared Room,37,2,2,6,3,5,7,84,1-4 hours,"slack,zoom,jira",2,4,4,4,1,1,1,5,1,6,1,Yes,Don't Know,5,,,,,,,,,,,3.0,2.0,2.3333333333333335,,"IT Technician slack,zoom,jira",1,5,0,2,2
Marum Hada,24,Female,Database Administrator (DBA),Operations,Nov-50,Hybrid,85,1,With Partner,Co-Working Space,27,2,3,5,3,1,11,93,<15 minutes,"email,asana,slack,notion",3,3,3,1,2,1,5,2,4,7,2,Yes,No,1,,,,,,,,,,,2.8,2.5,2.6666666666666665,,"Database Administrator (DBA) email,asana,slack,notion",0,2,5,2,3
Suean Joshi,38,Male,Compliance & Risk Analyst,Software Development,1001-5000,Flexible/ Variable,118,1,With Partner,Dedicated Room,33,5,4,4,3,1,11,118,<15 minutes,"jira,google meet",5,3,5,4,1,1,3,3,5,8,2,No,Yes,3,,,,,,,,,,,4.4,4.5,2.3333333333333335,,"Compliance & Risk Analyst jira,google meet",1,5,1,0,3
Saanvi Agarwal,32,Female,IT Director,Software Development,5001+,Office- First,144,5,With Children,Co-Working Space,22,4,1,7,4,5,11,107,4-24 hours,"asana,google meet,jira,notion,zoom",2,5,2,4,5,3,1,4,5,7,1,Yes,Yes,2,,,,,,,,,,,3.6,2.5,2.6666666666666665,,"IT Director asana,google meet,jira,notion,zoom",0,5,3,3,2
Karum Kumbhar,47,Female,Embedded Systems Engineer,Operations,1001-5000,Flexible/ Variable,52,5,With Children,Dedicated Room,33,3,7,5,4,4,10,99,<15 minutes,"MS teams,asana,jira,slack,google meet",5,4,1,1,1,1,1,5,1,8,2,Yes,Don't Know,5,,,,,,,,,,,2.4,5.0,2.3333333333333335,,"Embedded Systems Engineer MS teams,asana,jira,slack,google meet",0,2,1,0,2
Arvil Shetty,44,Male,Recruiter / Technical Recruiter,HR,51-200,Fully Remote,136,2,With Children,Co-Working Space,26,2,6,7,1,2,12,98,4-24 hours,"email,notion,jira,MS teams,asana",3,3,2,1,2,5,4,3,2,8,1,No,No,5,,,,,,,,,,,2.2,4.0,4.0,,"Recruiter / Technical Recruiter email,notion,jira,MS teams,asana",1,1,4,1,2
Akak Pujari,25,Male,AI Engineer,Software Development,5001+,Hybrid,120,1,Live Alone,Desk In Shared Room,47,4,1,9,2,3,10,113,1-4 hours,"MS teams,jira",3,5,3,2,4,3,3,3,4,6,3,Yes,No,3,,,,,,,,,,,3.4,2.5,3.0,,"AI Engineer MS teams,jira",1,5,3,2,0
Khushi Gautam,40,Female,Compliance & Risk Analyst,Software Development,5001+,Hybrid,128,2,Live Alone,Desk In Shared Room,41,5,5,10,2,3,9,105,15-60 minutes,"notion,jira,MS teams",3,2,1,4,2,2,2,2,5,9,3,Yes,Yes,4,,,,,,,,,,,3.0,5.0,2.0,,"Compliance & Risk Analyst notion,jira,MS teams",0,5,3,2,0
Suoesh Deshmukh,49,Male,Automation Test Engineer,Software Development,Nov-50,Hybrid,46,1,Shared Accommodation,Desk In Shared Room,50,3,3,7,2,5,8,135,4-24 hours,"jira,google meet,slack,email",4,3,2,4,4,1,2,4,2,7,5,Not Sure,No,4,,,,,,,,,,,3.0,3.0,2.3333333333333335,,"Automation Test Engineer jira,google meet,slack,email",1,5,5,2,1
Jatal Sequeira,29,Male,Security Manager,Software Development,01-Oct,Fully Remote,138,5,With Children,Co-Working Space,25,1,2,7,5,1,9,150,<15 minutes,"asana,notion,MS teams",4,2,2,4,5,2,4,4,4,6,2,No,No,5,,,,,,,,,,,3.2,1.5,3.3333333333333335,,"Security Manager asana,notion,MS teams",1,5,0,1,2
Prtam Bisen,49,Male,Chief Human Resources Officer (CHRO),HR,01-Oct,Office- First,8,1,Live Alone,Dedicated Room,32,4,1,4,2,1,6,97,<15 minutes,"asana,slack",1,2,3,1,5,1,3,4,1,8,4,No,Don't Know,4,,,,,,,,,,,1.6,2.5,2.6666666666666665,,"Chief Human Resources Officer (CHRO) asana,slack",1,1,0,3,0
Harini Gokhale,29,Female,Network Administrator,Operations,201-1000,Office- First,18,3,With Children,Shared Space(Kitchen/Living Room),38,4,3,6,2,1,9,108,15-60 minutes,"asana,google meet,jira,notion",2,5,5,5,3,4,4,4,2,6,5,No,Don't Know,1,,,,,,,,,,,3.8,3.5,4.0,,"Network Administrator asana,google meet,jira,notion",0,2,2,3,2
Mohit Ahluwalia,42,Male,Cybersecurity Analyst,Software Development,Nov-50,Office- First,7,4,Shared Accommodation,Co-Working Space,45,3,5,10,3,1,9,101,1-4 hours,"jira,slack",1,2,4,4,5,5,5,5,1,7,1,Not Sure,No,1,,,,,,,,,,,2.4,4.0,5.0,,"Cybersecurity Analyst jira,slack",1,5,5,3,1
Aath Bisht,32,Male,HR Business Partner (HRBP),HR,1001-5000,Hybrid,112,1,With Partner,Co-Working Space,20,1,3,4,2,1,3,84,4-24 hours,"MS teams,email",2,4,4,2,4,5,1,2,5,6,1,No,Don't Know,5,,,,,,,,,,,3.4,2.0,2.6666666666666665,,"HR Business Partner (HRBP) MS teams,email",1,1,1,2,3
Anaan Sarma / Sarmah,29,Female,Back-End Developer,Software Development,01-Oct,Flexible/ Variable,13,5,With Children,Desk In Shared Room,25,4,7,4,5,1,6,138,4-24 hours,"MS teams,google meet,slack,email",5,2,4,5,4,3,2,4,2,8,3,Yes,No,3,,,,,,,,,,,3.6,5.5,3.0,,"Back-End Developer MS teams,google meet,slack,email",0,5,0,0,2
Larum Havanur,44,Male,Customer Success Manager,Sales,Nov-50,Fully Remote,29,2,Shared Accommodation,Co-Working Space,40,5,5,6,1,1,5,118,<15 minutes,"email,google meet,zoom,MS teams",4,1,2,4,5,5,2,3,1,8,4,Yes,Don't Know,1,,,,,,,,,,,2.4,5.0,3.3333333333333335,,"Customer Success Manager email,google meet,zoom,MS teams",1,4,5,1,1
Naina Bhargav,49,Female,Talent Acquisition Manager,HR,1001-5000,Flexible/ Variable,85,4,With Partner,Shared Space(Kitchen/Living Room),21,2,1,10,4,3,11,82,15-60 minutes,"jira,zoom",3,1,1,1,4,1,3,3,5,6,3,Not Sure,Don't Know,3,,,,,,,,,,,2.2,1.5,2.3333333333333335,,"Talent Acquisition Manager jira,zoom",0,1,1,0,3
Sushah Das,41,Male,SOC Analyst,Software Development,51-200,Office- First,131,1,Live Alone,Shared Space(Kitchen/Living Room),32,1,3,5,4,5,1,85,<15 minutes,"asana,zoom,email,MS teams,google meet",1,1,1,5,2,5,4,1,1,9,4,Not Sure,Yes,1,,,,,,,,,,,1.8,2.0,3.3333333333333335,,"SOC Analyst asana,zoom,email,MS teams,google meet",1,5,4,3,0
Kiara Bendre,29,Female,Project Manager,Software Development,1001-5000,Fully Remote,135,4,Shared Accommodation,Shared Space(Kitchen/Living Room),38,3,7,6,5,4,7,67,15-60 minutes,"notion,zoom",1,5,2,3,4,2,3,2,5,7,2,No,Don't Know,1,,,,,,,,,,,3.2,5.0,2.3333333333333335,,"Project Manager notion,zoom",0,5,1,1,1
Nitait Banerjee,35,Male,Technical Product Manager,Product,Nov-50,Fully Remote,83,3,Shared Accommodation,Dedicated Room,19,3,6,10,4,2,1,75,15-60 minutes,"notion,zoom,google meet",5,2,3,3,4,1,4,1,5,9,3,Not Sure,Yes,1,,,,,,,,,,,3.6,4.5,2.0,,"Technical Product Manager notion,zoom,google meet",1,3,5,1,1
